VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,8.99,750,54738,287921.88,54744,509372.48,132593.95,6135.29,11595.97,221450.6,43.47518,1.000109613,1.769134322
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,29.99,750,14785,287124.7,14501,423808.99,253424.58,11423.39,68601.68,136684.29,32.25139,0.980791343,1.476045042
480,BACARDI USA INC,2665,Dewars White Label,15.38,19.99,750,18574,285668.12,19088,400461.12,215262.61,15034.06,89286.27,114793,28.66520,1.027673091,1.401840429
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750,10746,283909.32,10128,389506.72,233847.24,18613.13,68601.68,105597.4,27.11055,0.942490229,1.37194059
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750,63188,283082.24,62368,502198.46,109537.96,6997.39,144929.24,219116.22,43.63140,0.987022852,1.774037326
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500,47207,277577.16,46764,469543.36,127217.47,10501,79528.99,191966.2,40.88359,0.990615799,1.691577794
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750,18007,266683.67,17355,390990.45,199774.49,31890.83,50293.62,124306.78,31.79279,0.963791859,1.466120704
8004,SAZERAC CO INC,5153,Fireball Cinn Whisky Trav,10.44,15.99,750,25499,266209.56,25465,381031.35,176397.61,20051.86,50293.62,114821.79,30.13447,0.998666614,1.431321061
3960,DIAGEO NORTH AMERICA INC,4368,Capt Morgan Private Stock,23.91,32.99,1750,11035,263846.85,11114,379652.86,234036.58,20425.75,257032.07,115806.01,30.50313,1.007159039,1.438913749
3960,DIAGEO NORTH AMERICA INC,3488,Tanqueray,15.62,23.99,750,16740,261478.8,16745,387588.55,216983.09,13188.29,257032.07,126109.75,32.53702,1.000298686,1.482294358
3960,DIAGEO NORTH AMERICA INC,8111,Smirnoff 80 Proof,0.77,0.99,50,337660,259998.2,334939,331589.61,21424.59,17579.29,257032.07,71591.41,21.59037,0.991941598,1.275353483
6213,MHW LTD,5921,RumChata Liqueur,14.81,21.99,750,17419,257975.39,17317,363394.83,188150.98,13638.27,9621.58,105419.44,29.00961,0.994144325,1.40864146
1392,CONSTELLATION BRANDS INC,40096,Black Box Cab Svgn,10.52,16.99,3000,24452,257235.04,24253,443383.47,199192.95,10913.85,79528.99,186148.43,41.98362,0.991861606,1.72365114
17035,PERNOD RICARD USA,2756,Jameson Caskmates,22.89,29.99,750,11220,256825.8,10632,316023.68,194946.5,8376.85,123780.22,59197.88,18.73210,0.947593583,1.230498182
9165,ULTRA BEVERAGE COMPANY LLP,15094,Butter Chard,9.08,14.99,750,28274,256727.92,25366,368418.66,107099.35,2840.41,68054.7,111690.74,30.31625,0.897149324,1.435054902
8112,MOET HENNESSY USA INC,8612,Grand Marnier,45.79,67.99,1750,5583,255645.57,5516,351316.84,244095.86,10139.19,48347.26,95671.27,27.23219,0.987999284,1.374234023
9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,4.63,6.99,1500,55151,255349.13,54842,383345.58,101103.36,12318.42,27100.41,127996.45,33.38931,0.9943972,1.501260568
12546,JIM BEAM BRANDS COMPANY,3351,Pinnacle Whipped Vodka,13.27,16.99,1750,19227,255142.29,18722,314369.78,174230.35,34401.58,123880.97,59227.49,18.84007,0.973734852,1.232135135
3664,WILLIAM GRANT & SONS INC,8021,Glenfiddich Special Rsv 12,31.49,39.99,750,8081,254470.69,6976,305773.24,207326.89,5497.84,30234.42,51302.55,16.77797,0.863259498,1.201604947
